model,mean_fit_time,mean_score_time,mean_train_score,mean_test_score,mse
FONN1_sk_drop_identity 5 40,4.3745765209198,0.028197479248046876,-2.8019861406430797,-21.04526538746191,2.52172450327881
FONN2_sk_drop_identity 5 40,7.668803119659424,0.011296987533569336,-31.420058789321114,-41.783108694953185,28.857251854600076
TREENN1_sk_drop_identity 5 40,5.00390133857727,0.00902543067932129,-7.793336296436793,-30.195266206985487,9.343210647894702
TREENN2_sk_drop_identity 5 40,6.189302968978882,0.009808683395385742,-20.07696481068675,-31.567612139648237,27.078426717811034
FONN1_TrANN_drop_identity 5 40,10.652304315567017,0.02542414665222168,-51.208016206257085,-62.257708395158105,66.54832884879924
FONN2_TrANN_drop_identity 5 40,8.865341711044312,0.016513872146606445,-8.091341490851509,-32.28169890912323,8.860156251573802
FONN3_TrANN_drop_identity 5 40,9.707354545593262,0.029584264755249022,-32.06521175481844,-52.76970425049683,31.274301730048464
TREENN1_TrANN_drop_identity 40,4.541163158416748,0.007763576507568359,-58.7555576032094,-65.60561511125913,51.557487187688146
TREENN2_TrANN_drop_identity 40,4.8243366241455075,0.00864725112915039,-6.150615959566435,-35.43557842772501,7.054904981251737
TREENN3_TrANN_drop_identity 40,4.436389207839966,0.01366286277770996,-45.77500969859939,-59.31555536150762,50.22002171852512
MLP_sk_drop_standard 40,2.7664631843566894,0.010586357116699219,-8.953259497814106,-23.418439814294697,7.845816264981077
FONN1_sk_drop_standard 5 40,3.024570274353027,0.012616777420043945,-2.3630143553902103,-21.423203176770446,2.677155884319563
FONN2_sk_drop_standard 5 40,7.352000045776367,0.01167764663696289,-9.872849655679705,-22.210283967140583,9.254008729476576
TREENN1_sk_drop_standard 5 40,5.193743658065796,0.0868983268737793,-5.83568791796989,-30.437986248914985,3.4159351655715993
TREENN2_sk_drop_standard 5 40,6.367992973327636,0.042178916931152347,-8.337437091286635,-19.637600342647048,10.72612124171843
FONN1_TrANN_drop_standard 5 40,18.681001138687133,0.10036020278930664,-5.2519315972380305,-50.52980585401103,5.723594920400508
FONN2_TrANN_drop_standard 5 40,18.200776529312133,0.02844243049621582,-4.958274540814028,-29.319393243164903,5.359741212477452
FONN3_TrANN_drop_standard 5 40,22.955209398269652,0.07643561363220215,-7.5893594638196875,-30.15504496594421,8.328756142780128
